y1,x1_COBYQA,x1_LINCOA,x1_COBYLA,y2,x2_COBYQA,x2_LINCOA,x2_COBYLA,y3,x3_COBYQA,x3_LINCOA,x3_COBYLA,y4,x4_COBYQA,x4_LINCOA,x4_COBYLA,y5,x5_COBYQA,x5_LINCOA,x5_COBYLA,y6,x6_COBYQA,x6_LINCOA,x6_COBYLA,y7,x7_COBYQA,x7_LINCOA,x7_COBYLA,y8,x8_COBYQA,x8_LINCOA,x8_COBYLA,y9,x9_COBYQA,x9_LINCOA,x9_COBYLA
0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.12,0.21875,1.0,1.0,1.1466666666666667,0.21875,1.0,1.0,1.1866666666666668,0.21875,1.0,1.0,1.3466666666666667,0.21875,1.0,1.0,1.4933333333333334
0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.0,0.21875,1.0,1.0,1.12,0.21875,1.0,1.0,1.5,0.21875,1.0,1.0,1.5,0.21875,1.0,1.0,1.5,0.21875,1.0,1.0,1.5
0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.12,0.25,1.0,1.0,1.5,0.25,1.0,1.0,1.5,0.25,1.0,1.0,1.5,0.25,1.0,1.0,1.5
0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.1818181818181819,0.25,1.0,1.0,1.64,0.25,1.0,1.0,1.6129032258064515,0.25,1.0,1.0,1.5714285714285714,0.25,1.0,1.0,1.7714285714285714
0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.1818181818181819,0.28125,1.0,1.0,1.64,0.28125,1.0,1.0,1.6129032258064515,0.28125,1.0,1.0,1.5714285714285714,0.28125,1.0,1.0,1.7714285714285714
0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.0,0.28125,1.0,1.0,1.5,0.28125,1.0,1.0,1.64,0.28125,1.0,1.0,1.6129032258064515,0.28125,1.0,1.0,1.5714285714285714,0.28125,1.0,1.0,1.7714285714285714
0.3125,1.0,1.0,1.0,0.3125,1.0,1.0,1.0,0.3125,1.0,1.0,1.0,0.3125,1.0,1.0,1.0,0.3125,1.0,1.0,1.5,0.3125,1.0,1.0,1.64,0.3125,1.0,1.0,1.6129032258064515,0.3125,1.0,1.0,1.5714285714285714,0.3125,1.0,1.0,1.7714285714285714
0.3125,1.0,1.0769230769230769,1.0,0.3125,1.0,1.3333333333333333,1.0,0.3125,1.0,1.0,1.0,0.3125,1.0,1.0,1.2727272727272727,0.3125,1.0,1.0,1.5454545454545454,0.3125,1.0,1.0476190476190477,1.8695652173913044,0.3125,1.0,1.0,1.7692307692307692,0.3125,1.0,1.0,2.269230769230769,0.3125,1.0,1.0285714285714285,2.0
0.34375,1.0,1.0769230769230769,1.0,0.34375,1.0,1.3333333333333333,1.0,0.34375,1.0,1.0,1.0,0.34375,1.0,1.0,1.2727272727272727,0.34375,1.0,1.0,1.5454545454545454,0.34375,1.0,1.0476190476190477,1.8695652173913044,0.34375,1.0,1.0,1.7692307692307692,0.34375,1.0,1.0,2.269230769230769,0.34375,1.0,1.0285714285714285,2.0
0.34375,1.0,1.2857142857142858,1.0,0.34375,1.0,1.5,1.1428571428571428,0.34375,1.0,1.0,1.0,0.34375,1.0,1.0,1.2727272727272727,0.34375,1.0,1.0476190476190477,1.5454545454545454,0.34375,1.0,1.08,2.272727272727273,0.34375,1.0,1.0476190476190477,2.5,0.34375,1.0,1.0285714285714285,2.909090909090909,0.34375,1.0,1.0285714285714285,3.3636363636363638
